"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","171","Успешное создание заказа со всеми вариациями цветов самоката. Эндпоинт: /api/v1/orders","tests","Thu Jul 17 21:39:37 MSK 2025","passed","Thu Jul 17 21:39:37 MSK 2025","TestCreationOrder","test_make_order","",""
"","150","Успешное создание заказа со всеми вариациями цветов самоката. Эндпоинт: /api/v1/orders","tests","Thu Jul 17 21:39:37 MSK 2025","passed","Thu Jul 17 21:39:37 MSK 2025","TestCreationOrder","test_make_order","",""
"","4117","Получение списка заказов. Эндпоинт: /api/v1/orders","tests","Thu Jul 17 21:39:32 MSK 2025","passed","Thu Jul 17 21:39:36 MSK 2025","TestOrderList","test_get_order_list","",""
"","211","Регистрация курьеров с одинаковыми данными. Эндпоинт: /api/v1/courier","tests","Thu Jul 17 21:39:32 MSK 2025","passed","Thu Jul 17 21:39:32 MSK 2025","TestCreateNewCourier","test_create_courier","",""
"","169","Успешное создание заказа со всеми вариациями цветов самоката. Эндпоинт: /api/v1/orders","tests","Thu Jul 17 21:39:37 MSK 2025","passed","Thu Jul 17 21:39:37 MSK 2025","TestCreationOrder","test_make_order","",""
"","173","Успешное создание заказа со всеми вариациями цветов самоката. Эндпоинт: /api/v1/orders","tests","Thu Jul 17 21:39:37 MSK 2025","passed","Thu Jul 17 21:39:37 MSK 2025","TestCreationOrder","test_make_order","",""
"","169","Успешное создание нового курьера. Эндпоинт: /api/v1/courier","tests","Thu Jul 17 21:39:31 MSK 2025","passed","Thu Jul 17 21:39:31 MSK 2025","TestCreateNewCourier","test_create_courier","",""
"","58","Регистрация курьера: отсутствует логин или пароль. Эндпоинт: /api/v1/courier","tests","Thu Jul 17 21:39:32 MSK 2025","passed","Thu Jul 17 21:39:32 MSK 2025","TestCreateNewCourier","test_create_courier","",""
"","60","Регистрация курьера: отсутствует логин или пароль. Эндпоинт: /api/v1/courier","tests","Thu Jul 17 21:39:37 MSK 2025","passed","Thu Jul 17 21:39:37 MSK 2025","TestLoginCourier","test_login_courier","",""
"","94","Авторизация под несуществующим пользователем. Эндпоинт: /api/v1/courier/login","tests","Thu Jul 17 21:39:37 MSK 2025","passed","Thu Jul 17 21:39:37 MSK 2025","TestLoginCourier","test_login_courier","",""
"","79","Успешная авторизация с логином и паролем. Эндпоинт: /api/v1/courier/login","tests","Thu Jul 17 21:39:36 MSK 2025","passed","Thu Jul 17 21:39:36 MSK 2025","TestLoginCourier","test_login_courier","",""
"","86","Регистрация курьера: отсутствует логин или пароль. Эндпоинт: /api/v1/courier","tests","Thu Jul 17 21:39:37 MSK 2025","passed","Thu Jul 17 21:39:37 MSK 2025","TestLoginCourier","test_login_courier","",""
"","69","Регистрация курьера: отсутствует логин или пароль. Эндпоинт: /api/v1/courier","tests","Thu Jul 17 21:39:32 MSK 2025","passed","Thu Jul 17 21:39:32 MSK 2025","TestCreateNewCourier","test_create_courier","",""
